sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,local_bo_qty,went_on_backorder
1111623,0,8,0,2,3,5,0,3,3,3,2,0,89
1111650,110,8,0,0,0,0,2,10,22,29,3,0,78
1111651,143,8,1,16,50,118,18,49,106,284,27,0,78
1111652,24,8,0,3456,3456,3456,10,39,68,93,7,1,89
1111653,36,8,0,0,0,0,0,3,4,6,2,0,78
1111654,163,8,0,129,298,380,56,118,202,310,0,0,78
1111655,-55,8,2,428,526,606,25,100,205,387,52,56,89
1111656,74,8,0,0,0,0,0,6,14,18,0,0,78
1111657,225,8,0,0,0,0,8,10,10,128,1,0,78
1111659,30,8,14,42,84,126,7,56,107,148,24,0,89
1111670,-499,12,350,3452,5044,7188,747,2550,3572,4745,401,525,89
1111929,1,8,2,26,38,46,8,14,27,42,0,0,89
1111930,10,8,0,2,12,20,2,3,8,15,0,0,78
1111931,94,8,0,0,0,0,1,12,20,36,2,0,78
1111932,5,9,0,0,0,0,0,1,1,3,0,0,78
1112970,1,10,0,8,11,14,1,6,9,10,5,0,78
1112971,13,2,0,5,15,25,10,31,48,58,4,0,89
1112972,1,8,0,3,3,5,2,2,2,6,1,0,78
1112985,720,2,854,0,240,780,0,0,0,0,157,0,78
1112986,5,2,0,13,26,26,1,5,10,18,3,0,89
1112987,4,8,0,0,0,0,1,1,1,1,0,0,78
1112993,3,8,0,0,1,2,0,0,2,3,0,0,78
1112994,0,2,0,15,15,15,0,0,0,0,0,0,89
1112995,7,12,0,0,0,0,0,0,1,2,2,0,78
1113056,0,8,4,0,0,2,0,2,2,2,0,0,78
1113057,-4,8,0,24,41,50,3,6,19,32,5,4,89
1113058,0,0,0,16,27,36,0,0,0,0,1,0,78
1113110,87,8,3,0,0,0,6,17,39,62,18,0,78
1113111,8,8,0,6,17,23,7,13,28,50,4,0,89
1113112,13,9,0,0,0,0,0,0,0,0,0,0,78
1113120,134,9,0,0,0,0,0,0,0,0,0,0,78
1113121,0,8,1,6,6,6,0,4,9,12,0,0,89
1113122,0,10,2,0,0,1,0,0,2,2,0,0,89
1113123,500,12,0,0,0,0,0,0,0,0,0,0,78
1113198,24,4,0,0,0,0,0,0,0,0,0,0,78
1113199,0,12,1,4,7,10,1,3,5,8,0,0,89
1113221,24,2,0,0,50,50,0,0,0,0,0,0,78
1113222,57,8,0,576,768,960,61,184,519,589,101,3,89
1113223,18,2,0,0,0,0,1,1,2,3,0,0,78
1113268,0,8,0,2,3,4,1,2,3,3,0,0,89
1113269,82,9,0,33,93,143,21,62,120,206,24,0,78
1113270,53,8,0,0,0,0,0,0,0,0,1,0,78
1113271,7,4,0,0,0,0,0,1,1,2,0,0,78
1113365,86,3,16,36,136,184,21,54,130,223,19,0,78
1113366,2,8,0,38,55,89,12,41,75,98,1,0,89
1113367,113,2,0,0,0,0,0,1,1,2,2,0,78
1113368,102,12,0,0,0,0,0,3,14,23,0,0,78
1113480,5,8,0,15,30,44,6,15,47,61,4,0,89
1113650,23,8,0,0,0,0,0,0,2,3,0,0,78
1113651,0,8,0,3,4,6,2,3,4,5,0,0,89
1113873,3,8,0,0,0,0,0,0,0,1,1,0,78
1113874,20,2,0,45,99,153,16,42,80,111,10,0,89
1113899,8,8,0,0,0,0,0,0,1,5,0,0,78
1113900,0,12,0,3,4,5,1,3,5,5,0,0,89
1113901,48,8,0,26,56,86,10,26,81,95,4,0,78
1113902,0,9,0,2,3,4,1,2,4,4,0,0,78
1113903,8,8,0,0,0,0,0,0,0,0,0,0,78
1113995,16,8,0,0,5,5,0,3,7,10,6,0,78
1113996,0,9,0,22,42,62,6,18,28,38,4,0,89
1113997,21,8,24,0,0,24,6,20,32,38,4,0,78
1114030,3,8,0,0,1,2,0,0,2,4,0,0,78
1114031,1,2,0,10,10,10,1,1,1,1,0,0,89
1114032,2,12,0,0,0,0,0,0,0,0,0,0,78
1114042,42,2,0,0,0,0,4,4,4,4,0,0,78
1114043,3,2,0,10,16,26,5,8,21,33,1,0,89
1114044,256,2,0,0,0,0,13,25,37,41,16,0,78
1114045,68,2,0,0,0,0,0,0,0,0,0,0,78
1114107,24,2,0,0,0,0,0,0,0,0,0,0,78
1114108,12,2,0,0,0,0,0,0,1,7,0,0,78
1114109,0,8,0,49,49,49,0,0,0,0,0,0,89
1114110,45,8,183,474,822,1104,305,539,884,1182,227,3,89
1114111,0,8,0,1,1,1,0,0,0,0,0,0,78
